(95,127,202)
(118,127,202)
(130,126,199)
(140,124,199)
(130,126,198)
(108,130,198)
(89,124,190)
(86,119,180)
(92,119,182)
(116,126,194)
(129,134,204)
(124,143,210)
(118,146,212)
(119,150,218)
(110,150,217)
(95,148,210)
(97,143,206)
(110,134,196)
(114,124,190)
(111,119,182)
(100,118,178)
(87,130,185)
(74,127,180)
(81,122,180)
(97,126,185)
(129,130,201)
(148,140,212)
(146,148,218)
(150,153,218)
(148,145,212)
(146,140,206)
(145,138,206)
(145,142,209)
(140,142,212)
(122,132,201)
(100,121,191)
(84,114,183)
(70,108,175)
(79,119,183)
(94,126,191)
(106,126,193)
(124,122,190)
(142,121,191)
(156,119,190)
(162,116,188)
(182,177,255)
(182,177,255)
(174,177,254)
(167,174,250)
(159,174,244)
(142,172,241)
(114,177,238)
(119,177,238)
(161,172,241)
(172,174,244)
(166,180,249)
(162,182,249)
(169,177,249)
(175,172,246)
(178,169,247)
(178,169,244)
(172,174,244)
(166,175,241)
(167,177,246)
(166,180,249)
(164,182,252)
(159,180,250)
(153,177,250)
(145,175,247)
